name,N,Ttot,one_minus_F,c
n12_m14_s0_e0,568,18412,7.539356059660385e-05,0.13273514189542931
n12_m14_s0_e6,512,16616,6.90650236442325e-05,0.13489262430514162
n12_m14_s1_e0,568,18412,8.440501890039087e-05,0.14860038538801212
n12_m14_s1_e6,512,16616,6.407410178044248e-05,0.12514473003992674
n12_m14_s2_e0,568,18412,7.199877799424215e-05,0.12675841196169393
n12_m14_s2_e6,512,16616,6.559546537154848e-05,0.12811614330380564
n12_m14_s3_e0,568,18412,7.410634953397555e-05,0.13046892523587245
n12_m14_s3_e6,512,16616,5.448786316986087e-05,0.10642160775363452
n12_m14_s4_e0,568,18412,7.283200964558478e-05,0.12822536909433943
n12_m14_s4_e6,512,16616,6.48103295787239e-05,0.12658267495844513
n12_m14_s5_e0,568,18412,6.984895590644857e-05,0.12297351391980384
n12_m14_s5_e6,512,16616,6.18650159994738e-05,0.12083010937397227
n12_m14_s6_e0,568,18412,7.089806462279302e-05,0.12482053630773421
n12_m14_s6_e6,512,16616,6.421989784954896e-05,0.1254294879874003
n12_m14_s7_e0,568,18412,7.135892529519516e-05,0.1256319107309774
n12_m14_s7_e6,512,16616,6.059018554882556e-05,0.11834020615004992
n12_m14_s8_e0,568,18412,7.162659048021158e-05,0.12610315225389365
n12_m14_s8_e6,512,16616,6.19145865056181e-05,0.12092692676878534
n12_m14_s9_e0,568,18412,6.169844496917154e-05,0.1086240228330485
n12_m14_s9_e6,512,16616,6.13961447155642e-05,0.11991434514758634
patch_n12_m14_s10_e18,398,12904,5.245405519793689e-05,0.13179410853752987
patch_n12_m14_s11_e18,398,12904,4.781596816905154e-05,0.1201406235403305
patch_n12_m14_s12_e18,398,12904,4.083759248552088e-05,0.1026070162952786
patch_n12_m14_s13_e18,398,12904,3.917321899804538e-05,0.09842517336192307
patch_n12_m14_s14_e18,398,12904,4.777513008569212e-05,0.12003801529068373
patch_n12_m14_s15_e18,398,12904,3.760562649157695e-05,0.09448649872255516
patch_n12_m14_s16_e18,398,12904,4.680930034051123e-05,0.11761130738821918
patch_n12_m14_s17_e18,398,12904,4.796895718361949e-05,0.1205250180492952
patch_n12_m14_s18_e18,398,12904,5.211323577858362e-05,0.13093777833814982
patch_n12_m14_s19_e18,398,12904,5.109241153244959e-05,0.12837289329761203
