name,F_pub,F_int,thm,R,bits,m2,m1,sx,sy,sw,rz_nc,rz_cl,fsim
n12_m14_s0_e0,0.9999999998043738,0.9999999999999791,4.683753385137379e-17,682,2707,1355,1352,64,59,57,568,145,60
n12_m14_s0_e6,0.9999999998078887,0.9999999999999781,5.724587470723463e-17,626,2509,1247,1262,64,59,57,512,130,54
n12_m14_s1_e0,0.9999999998124928,0.999999999999978,4.9439619065339e-17,694,2687,1351,1336,62,55,63,568,145,60
n12_m14_s1_e6,0.9999999998230447,0.9999999999999772,5.681219383824043e-17,638,2489,1243,1246,62,55,63,512,130,54
n12_m14_s2_e0,0.99999999980596,0.999999999999975,5.4643789493269423e-17,678,2712,1356,1356,65,60,55,568,145,60
n12_m14_s2_e6,0.9999999998263441,0.9999999999999778,5.421010862427522e-17,622,2514,1248,1266,65,60,55,512,130,54
n12_m14_s3_e0,0.9999999998183358,0.9999999999999788,4.5319650809894085e-17,686,2702,1354,1348,63,58,59,568,145,60
n12_m14_s3_e6,0.9999999998310087,0.999999999999978,4.96564594998361e-17,630,2504,1246,1258,63,58,59,512,130,54
n12_m14_s4_e0,0.9999999998157836,0.9999999999999791,4.640385298237959e-17,684,2712,1356,1356,62,60,58,568,145,60
n12_m14_s4_e6,0.99999999981921,0.9999999999999795,5.095750210681871e-17,628,2514,1248,1266,62,60,58,512,130,54
n12_m14_s5_e0,0.9999999998084734,0.9999999999999744,4.228388472693467e-17,684,2742,1362,1380,56,66,58,568,145,60
n12_m14_s5_e6,0.9999999998373694,0.999999999999975,4.0766001685454967e-17,628,2544,1254,1290,56,66,58,512,130,54
n12_m14_s6_e0,0.9999999998142395,0.999999999999978,5.2258544713801314e-17,702,2692,1352,1340,57,56,67,568,145,60
n12_m14_s6_e6,0.9999999998086835,0.9999999999999774,4.575333167888829e-17,646,2494,1244,1250,57,56,67,512,130,54
n12_m14_s7_e0,0.99999999980219,0.9999999999999767,4.228388472693467e-17,696,2707,1355,1352,57,59,64,568,145,60
n12_m14_s7_e6,0.9999999998042931,0.999999999999976,5.594483210025203e-17,640,2509,1247,1262,57,59,64,512,130,54
n12_m14_s8_e0,0.999999999820165,0.9999999999999772,6.071532165918825e-17,696,2692,1352,1340,60,56,64,568,145,60
n12_m14_s8_e6,0.9999999998395106,0.9999999999999758,3.881443777498106e-17,640,2494,1244,1250,60,56,64,512,130,54
n12_m14_s9_e0,0.9999999998107613,0.999999999999981,5.421010862427522e-17,684,2712,1356,1356,62,60,58,568,145,60
n12_m14_s9_e6,0.99999999980664,0.9999999999999759,5.334274688628682e-17,628,2514,1248,1266,62,60,58,512,130,54
patch_n12_m14_s10_e18,,0.9999999999999789,7.112366251504909e-17,512,2129,1039,1090,64,59,57,398,99,42
patch_n12_m14_s11_e18,,0.9999999999999777,6.722053469410127e-17,524,2109,1035,1074,62,55,63,398,99,42
patch_n12_m14_s12_e18,,0.9999999999999798,1.0495077029659683e-16,508,2134,1040,1094,65,60,55,398,99,42
patch_n12_m14_s13_e18,,0.9999999999999822,7.719519468096792e-17,516,2124,1038,1086,63,58,59,398,99,42
patch_n12_m14_s14_e18,,0.9999999999999772,1.240327285323417e-16,514,2134,1040,1094,62,60,58,398,99,42
patch_n12_m14_s15_e18,,0.99999999999998,1.474514954580286e-16,514,2164,1046,1118,56,66,58,398,99,42
patch_n12_m14_s16_e18,,0.9999999999999778,1.1882855810441129e-16,532,2114,1036,1078,57,56,67,398,99,42
patch_n12_m14_s17_e18,,0.9999999999999767,9.8879238130678e-17,526,2129,1039,1090,57,59,64,398,99,42
patch_n12_m14_s18_e18,,0.9999999999999744,1.0625181290357943e-16,526,2114,1036,1078,60,56,64,398,99,42
patch_n12_m14_s19_e18,,0.9999999999999787,9.71445146547012e-17,514,2134,1040,1094,62,60,58,398,99,42
